-20.6252,-14.5485 
-20.6029,-9.3048 
-21.5714,-4.1513 
-21.9665,0.1893 
-21.9442,5.4330 
-17.0191,-1.5487 
-16.9968,3.6950 
-17.3919,8.0355 
-15.6556,-11.0428 
-16.0506,-6.7022 
-13.8304,10.5479 
-11.6991,-12.8710 
-12.4891,-4.1899 
-13.0403,1.8668 
-8.1376,-10.3586 
-8.5326,-6.0180 
-8.5103,-0.7744 
-9.4788,4.3792 
-9.8738,8.7197 
-4.9265,6.9817 
-4.9042,12.2254 
-2.6168,-12.9096 
-3.5853,-7.7560 
-3.5630,-2.5124 
-3.9580,1.8282 
0.9448,-10.3972 
0.3936,-4.3405 
-0.3965,4.3406 
-0.9477,10.3972 
3.9551,-1.8282 
3.5601,2.5124 
3.5823,7.7561 
2.6138,12.9096 
4.9013,-12.2254 
4.9236,-6.9817 
9.8709,-8.7197 
9.4759,-4.3791 
8.5074,0.7744 
8.5297,6.0181 
8.1346,10.3586 
13.0374,-1.8668 
12.4862,4.1899 
11.6962,12.8710 
13.8274,-10.5479 
16.0477,6.7022 
15.6527,11.0428 
17.3890,-8.0355 
16.9939,-3.6949 
17.0162,1.5487 
21.9413,-5.4330 
21.9635,-0.1893 
21.5685,4.1513 
20.6000,9.3048 
22.9098,-10.5865 
