-25,-13.85640646,13,0,L
-24.5,-14.72243186,13,1,L
-23.5,-14.72243186,13,2,L
-23,-13.85640646,13,3,L
-25,-12.12435565,13,4,L
-24.5,-12.99038106,13,5,L
-23.5,-12.99038106,13,6,L
-23,-12.12435565,13,7,L
-25,-10.39230485,13,8,L
-24.5,-11.25833025,13,9,L
-23.5,-11.25833025,13,10,L
-23,-10.39230485,13,11,L
-25,-8.660254038,13,12,L
-24.5,-9.526279442,13,13,L
-23.5,-9.526279442,13,14,L
-23,-8.660254038,13,15,L
-25,-6.92820323,13,16,L
-24.5,-7.794228634,13,17,L
-23.5,-7.794228634,13,18,L
-23,-6.92820323,13,19,L
-25,-5.196152423,13,20,L
-24.5,-6.062177826,13,21,L
-23.5,-6.062177826,13,22,L
-23,-5.196152423,13,23,L
-25,-3.464101615,13,24,L
-24.5,-4.330127019,13,25,L
-23.5,-4.330127019,13,26,L
-23,-3.464101615,13,27,L
-25,-1.732050808,13,28,L
-24.5,-2.598076211,13,29,L
-23.5,-2.598076211,13,30,L
-23,-1.732050808,13,31,L
-25,0,13,32,L
-24.5,-0.866025404,13,33,L
-23.5,-0.866025404,13,34,L
-23,0,13,35,L
-25,1.732050808,13,36,L
-24.5,0.866025404,13,37,L
-23.5,0.866025404,13,38,L
-23,1.732050808,13,39,L
-25,3.464101615,13,40,L
-24.5,2.598076211,13,41,L
-23.5,2.598076211,13,42,L
-23,3.464101615,13,43,L
-25,5.196152423,13,44,L
-24.5,4.330127019,13,45,L
-23.5,4.330127019,13,46,L
-23,5.196152423,13,47,L
-25,6.92820323,13,48,L
-24.5,6.062177826,13,49,L
-23.5,6.062177826,13,50,L
-23,6.92820323,13,51,L
-25,8.660254038,13,52,L
-24.5,7.794228634,13,53,L
-23.5,7.794228634,13,54,L
-23,8.660254038,13,55,L
-25,10.39230485,13,56,L
-24.5,9.526279442,13,57,L
-23.5,9.526279442,13,58,L
-23,10.39230485,13,59,L
-25,12.12435565,13,60,L
-24.5,11.25833025,13,61,L
-23.5,11.25833025,13,62,L
-23,12.12435565,13,63,L
-25,13.85640646,13,64,L
-24.5,12.99038106,13,65,L
-23.5,12.99038106,13,66,L
-23,13.85640646,13,67,L
-22,-13.85640646,13,68,L
-21.5,-14.72243186,13,69,L
-20.5,-14.72243186,13,70,L
-20,-13.85640646,13,71,L
-22,-12.12435565,13,72,L
-21.5,-12.99038106,13,73,L
-20.5,-12.99038106,13,74,L
-20,-12.12435565,13,75,L
-22,-10.39230485,13,76,L
-21.5,-11.25833025,13,77,L
-20.5,-11.25833025,13,78,L
-20,-10.39230485,13,79,L
-22,-8.660254038,13,80,L
-21.5,-9.526279442,13,81,L
-20.5,-9.526279442,13,82,L
-20,-8.660254038,13,83,L
-22,-6.92820323,13,84,L
-21.5,-7.794228634,13,85,L
-20.5,-7.794228634,13,86,L
-20,-6.92820323,13,87,L
-22,-5.196152423,13,88,L
-21.5,-6.062177826,13,89,L
-20.5,-6.062177826,13,90,L
-20,-5.196152423,13,91,L
-22,-3.464101615,13,92,L
-21.5,-4.330127019,13,93,L
-20.5,-4.330127019,13,94,L
-20,-3.464101615,13,95,L
-22,-1.732050808,13,96,L
-21.5,-2.598076211,13,97,L
-20.5,-2.598076211,13,98,L
-20,-1.732050808,13,99,L
-22,0,13,100,L
-21.5,-0.866025404,13,101,L
-20.5,-0.866025404,13,102,L
-20,0,13,103,L
-22,1.732050808,13,104,L
-21.5,0.866025404,13,105,L
-20.5,0.866025404,13,106,L
-20,1.732050808,13,107,L
-22,3.464101615,13,108,L
-21.5,2.598076211,13,109,L
-20.5,2.598076211,13,110,L
-20,3.464101615,13,111,L
-22,5.196152423,13,112,L
-21.5,4.330127019,13,113,L
-20.5,4.330127019,13,114,L
-20,5.196152423,13,115,L
-22,6.92820323,13,116,L
-21.5,6.062177826,13,117,L
-20.5,6.062177826,13,118,L
-20,6.92820323,13,119,L
-22,8.660254038,13,120,L
-21.5,7.794228634,13,121,L
-20.5,7.794228634,13,122,L
-20,8.660254038,13,123,L
-22,10.39230485,13,124,L
-21.5,9.526279442,13,125,L
-20.5,9.526279442,13,126,L
-20,10.39230485,13,127,L
-22,12.12435565,13,128,L
-21.5,11.25833025,13,129,L
-20.5,11.25833025,13,130,L
-20,12.12435565,13,131,L
